e	1185	11.8%
a	1077	10.8%
o	935	9.3%
s	800	8.0%
r	658	6.6%
n	580	5.8%
i	514	5.1%
l	466	4.7%
d	456	4.6%
u	425	4.2%
t	369	3.7%
c	317	3.2%
m	283	2.8%
p	221	2.2%
,	183	1.8%
b	159	1.6%
y	127	1.3%
q	115	1.1%
h	115	1.1%
v	113	1.1%
g	96	1.0%
.	96	1.0%
f	76	0.8%
é	65	0.6%
í	59	0.6%
á	59	0.6%
ó	41	0.4%
j	41	0.4%
z	34	0.3%
S	27	0.3%
ñ	23	0.2%
¿	23	0.2%
?	23	0.2%
P	21	0.2%
H	21	0.2%
D	21	0.2%
;	17	0.2%
:	17	0.2%
»	15	0.1%
«	15	0.1%
E	15	0.1%
A	15	0.1%
L	14	0.1%
N	11	0.1%
ú	9	0.1%
T	8	0.1%
C	8	0.1%
Y	6	0.1%
V	6	0.1%
¡	4	0.0%
M	4	0.0%
J	4	0.0%
!	4	0.0%
x	3	0.0%
Q	2	0.0%
I	2	0.0%
É	1	0.0%
U	1	0.0%
R	1	0.0%
O	1	0.0%
B	1	0.0%

total:	10008
