³	2193	10.9%
²	2169	10.8%
h	1835	9.1%
n	1496	7.4%
á	1356	6.7%
¹	1170	5.8%
u	1054	5.2%
i	1046	5.2%
j	751	3.7%
a	715	3.5%
t	699	3.5%
l	549	2.7%
s	502	2.5%
c	500	2.5%
í	467	2.3%
œ	403	2.0%
m	396	2.0%
o	316	1.6%
ý	304	1.5%
,	288	1.4%
ú	251	1.2%
e	159	0.8%
q	149	0.7%
b	140	0.7%
.	131	0.6%
ó	130	0.6%
ñ	128	0.6%
é	126	0.6%
d	81	0.4%
r	77	0.4%
z	73	0.4%
D	68	0.3%
H	58	0.3%
J	47	0.2%
T	40	0.2%
y	38	0.2%
g	31	0.2%
;	28	0.1%
:	22	0.1%
Q	19	0.1%
”	15	0.1%
“	15	0.1%
¿	14	0.1%
?	14	0.1%
p	13	0.1%
L	12	0.1%
C	12	0.1%
S	7	0.0%
N	7	0.0%
¡	6	0.0%
!	6	0.0%
U	5	0.0%
ë	4	0.0%
I	3	0.0%
*	3	0.0%
]	2	0.0%
[	2	0.0%
Z	2	0.0%
R	2	0.0%
M	2	0.0%
A	2	0.0%
Ñ	1	0.0%
O	1	0.0%
G	1	0.0%

total: 20156
