a	2070	12.1%
̱	1834	10.7%
n	1606	9.4%
ꞌ	1189	7.0%
u	890	5.2%
á	880	5.1%
í	830	4.9%
m	829	4.8%
i	700	4.1%
r	470	2.7%
j	466	2.7%
g	442	2.6%
o	399	2.3%
t	359	2.1%
x	353	2.1%
l	330	1.9%
e	326	1.9%
h	305	1.8%
k	295	1.7%
b	283	1.7%
ú	268	1.6%
s	251	1.5%
ó	222	1.3%
d	220	1.3%
,	216	1.3%
.	177	1.0%
w	167	1.0%
y	126	0.7%
ñ	116	0.7%
A	109	0.6%
p	44	0.3%
X	43	0.3%
>	32	0.2%
<	32	0.2%
N	31	0.2%
I	26	0.2%
J	25	0.1%
:	20	0.1%
é	19	0.1%
G	17	0.1%
T	14	0.1%
R	10	0.1%
Á	9	0.1%
M	8	0.0%
c	6	0.0%
K	6	0.0%
f	5	0.0%
S	5	0.0%
P	5	0.0%
Í	4	0.0%
¡	2	0.0%
O	2	0.0%
D	2	0.0%
!	2	0.0%
Ꞌ	1	0.0%
]	1	0.0%
[	1	0.0%
E	1	0.0%
)	1	0.0%
(	1	0.0%

total:	17103
