e	1232	11.4%
o	1014	9.4%
t	839	7.7%
a	744	6.9%
s	711	6.6%
r	661	6.1%
i	609	5.6%
n	596	5.5%
h	571	5.3%
d	464	4.3%
u	400	3.7%
l	398	3.7%
y	320	3.0%
w	267	2.5%
f	242	2.2%
g	197	1.8%
m	195	1.8%
c	178	1.6%
b	159	1.5%
.	148	1.4%
,	148	1.4%
p	141	1.3%
v	126	1.2%
k	65	0.6%
G	44	0.4%
’	36	0.3%
Y	25	0.2%
?	23	0.2%
I	22	0.2%
j	21	0.2%
S	21	0.2%
L	21	0.2%
A	21	0.2%
T	16	0.1%
F	15	0.1%
H	14	0.1%
B	14	0.1%
”	13	0.1%
“	13	0.1%
W	11	0.1%
D	11	0.1%
J	10	0.1%
!	9	0.1%
C	8	0.1%
x	7	0.1%
—	6	0.1%
:	5	0.0%
z	4	0.0%
;	4	0.0%
R	3	0.0%
q	2	0.0%
U	2	0.0%
P	2	0.0%
O	2	0.0%
N	2	0.0%
M	2	0.0%
E	2	0.0%
-	2	0.0%
K	1	0.0%

total:	10839
